year,County,Type,Mean
1999,Sacramento,HF,5.2077656626506
1999,Sacramento,IV,81.0069642857143
1999,Sacramento,MSP,141702.747840606
1999,Sacramento,MSPSF,91.4756303030303
1999,Sacramento,MT,157243.181818182
1999,Sacramento,MVSF,90.2857142857143
1999,Sacramento,SF,169813.69047619
1999,Sacramento,SFG,98.2947204819277
1999,Sacramento,SFL,2.07644724409449
1999,Sacramento,SPY,6.67963392857143
1999,Sacramento,TT,239184.722222222
1999,San Francisco,2B,362000
1999,San Francisco,3B,412591.666666667
1999,San Francisco,4B,469733.333333333
1999,San Francisco,A,368491.666666667
1999,San Francisco,BT,199783.333333333
1999,San Francisco,DV,4.8975
1999,San Francisco,FR,0.853975
1999,San Francisco,HF,0.339291666666667
1999,San Francisco,IV,93.2258333333333
1999,San Francisco,MSP,372220.833333333
1999,San Francisco,MSPSF,302.299075
1999,San Francisco,MT,284483.333333333
1999,San Francisco,MVSF,292.5
1999,San Francisco,SF,361383.333333333
1999,San Francisco,SFG,99.7789
1999,San Francisco,SFL,0.2211
1999,San Francisco,SPY,5.80869166666667
1999,San Francisco,TT,448308.333333333
1999,San Mateo,2B,320176.041666667
1999,San Mateo,3B,406254.6875
1999,San Mateo,4B,588615.625
1999,San Mateo,A,480255.208333333
1999,San Mateo,BT,209043.75
1999,San Mateo,DV,6.77538888888889
1999,San Mateo,FR,2.04509545454545
1999,San Mateo,HF,0.827201754385965
1999,San Mateo,IV,90.1776111111111
1999,San Mateo,MSP,463979.405325424
1999,San Mateo,MSPSF,277.03409661017
1999,San Mateo,MT,316578.125
1999,San Mateo,MVSF,282.651041666667
1999,San Mateo,SF,496084.375
1999,San Mateo,SFG,98.1022623595506
1999,San Mateo,SFL,2.55065476190476
1999,San Mateo,SPY,6.18728333333333
1999,San Mateo,TT,572629.444444444
2000,Alameda,2B,277123.333333333
2000,Alameda,3B,380213.541666667
2000,Alameda,4B,480102.604166667
2000,Alameda,A,371522.395833333
2000,Alameda,BT,229457.8125
2000,Alameda,DV,0.848541666666667
2000,Alameda,FR,1.82621904761905
2000,Alameda,HF,0.94058152173913
2000,Alameda,IV,98.91171875
2000,Alameda,MSP,320321.122930539
2000,Alameda,MSPSF,227.98825886409
2000,Alameda,MT,361959.375
2000,Alameda,MVSF,243.223958333333
2000,Alameda,SF,400728.125
